epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,28.673820304870606,0.3710011507479862,0.6254047796663893,4345,0.6076696165191741,0.5245349105937416,339
2,20.226408659893533,0.5527893038266483,0.7025242306533949,4338,0.7374631268436578,0.5252363493048328,339
3,18.043006183790123,0.5771270463454,0.7153255254103665,4337,0.7256637168141593,0.48831564391959076,339
4,16.14962392889935,0.6141968195436737,0.7262649782799401,4339,0.7669616519174042,0.545898387262937,339
5,14.455156123119853,0.6126954921803128,0.7455830161972318,4348,0.7669616519174042,0.5744891162712145,339
