epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.185143097587254,0.4069713758079409,0.6345247687825787,4332,0.5132743362831859,0.4937885026255595,339
2,14.771090432871944,0.5570438799076213,0.6907971877316107,4330,0.7050147492625368,0.4981370244063214,339
3,12.725673526266347,0.5734989648033126,0.7120459219308494,4347,0.7050147492625368,0.5299531021988556,339
4,11.432813005862029,0.608154803040774,0.7307693890749093,4341,0.7522123893805309,0.5723504968009607,339
5,10.844186144289763,0.615597600369174,0.7358298128708537,4334,0.7640117994100295,0.5921829404198996,339
