epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,12.104843902587891,0.3828661046853558,0.6040069985008911,5101,0.7050147492625368,0.5049547649652101,339
2,8.623695336217466,0.5429970617042116,0.6754264888097352,5105,0.6843657817109144,0.5428531426671079,339
3,7.706017846646517,0.5786692759295499,0.6967303567186953,5110,0.7551622418879056,0.5262335344000616,339
4,6.998096043130626,0.6024734982332155,0.6979564800313315,5094,0.7286135693215339,0.5362622206220558,339
5,6.2445461832958715,0.6131872432009392,0.7259411041657433,5111,0.7492625368731564,0.5729957267784765,339
