epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.241892341945483,0.3850587964030436,0.6195996829506901,4337,0.6489675516224189,0.508249838513773,339
2,14.728973430135976,0.5436982520699172,0.6963582921601965,4348,0.6902654867256637,0.5714666217077855,339
3,12.923959690591563,0.585635359116022,0.7177711676389233,4344,0.7581120943952803,0.5735787351724089,339
4,11.653335135916006,0.6091160220994475,0.7252850752294809,4344,0.7669616519174042,0.5558248341139215,339
5,10.884177274289339,0.6212854181064271,0.7318644875002712,4341,0.7728613569321534,0.5320720816992919,339
