epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,19.06790828704834,0.37807966843195945,0.6157181710410337,4343,0.5899705014749262,0.5093841657996987,339
2,14.235690232981806,0.5730414746543778,0.7027034330695024,4340,0.7197640117994101,0.5223335083789769,339
3,12.962769989345384,0.6038301799723119,0.7168497297662014,4334,0.7551622418879056,0.5566971853110844,339
4,11.534946570189103,0.6366359447004608,0.7319978259423681,4340,0.7669616519174042,0.5909507803369336,339
5,11.246523620771326,0.6458812701334561,0.7133307787061209,4346,0.7433628318584071,0.582114832853622,339
