epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,12.105543862218441,0.3611759216052263,0.6337239941537917,4286,0.5545722713864307,0.5153057467616037,339
2,8.693316845271898,0.5397343276625495,0.7073279104960922,4291,0.7374631268436578,0.5123700423932535,339
3,7.858597937874172,0.5873163907670785,0.7133347855932851,4289,0.7315634218289085,0.5575851030080762,339
4,7.033255083664604,0.6048462255358807,0.736326049029619,4292,0.7315634218289085,0.5573937715650047,339
5,6.718681260813837,0.6259328358208955,0.7294913730228106,4288,0.7581120943952803,0.5753976085974972,339
