epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,11.197998191999352,0.005983889528193326,0.6358299467033766,4345,0.12389380530973451,0.05698867714228116,339
2,8.147230264414912,0.021217712177121772,0.703597211072502,4336,0.0,0.0,339
3,7.47491516859635,0.02695852534562212,0.7057889158215125,4340,0.15634218289085547,0.07345008328286219,339
4,6.862736461473548,0.034315983417779826,0.7229869619983794,4342,0.04129793510324484,0.03071700234063695,339
5,6.4368846250616985,0.03895804518211157,0.7328732758927926,4338,0.20353982300884957,0.13057712676199468,339
