epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.7090380212535,0.4119409866297833,0.6168174335346696,4338,0.6489675516224189,0.5218906202112081,339
2,14.579427922290304,0.563594470046083,0.6907054635879986,4340,0.7374631268436578,0.5285753059337748,339
3,12.570976684404457,0.5914325195762321,0.7190617487574787,4342,0.7581120943952803,0.5372289691812667,339
4,11.421173485465673,0.6159870997466022,0.7271052385554254,4341,0.7699115044247787,0.5677053039016253,339
5,10.863277617744778,0.6261531365313653,0.7318835366315909,4336,0.7817109144542773,0.5479540296001026,339
