epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.000910070668095,0.3587557603686636,0.6306918227659001,4340,0.7020648967551623,0.5208859755051757,339
2,14.157219778973124,0.5629885057471264,0.6936117478209941,4350,0.7404129793510325,0.5054445340608269,339
3,11.063959424392037,0.5979286536248561,0.728145171327457,4345,0.7669616519174042,0.5712619374135698,339
4,10.277080154418945,0.6326247689463955,0.7407137967475983,4328,0.7964601769911505,0.5451939144232296,339
5,9.509871051622474,0.640589047399908,0.7508882151366134,4346,0.775811209439528,0.6066681371534468,339
6,9.256696091527525,0.6524839006439742,0.7524342822143231,4348,0.8023598820058997,0.5968752563387986,339
7,8.560962345289147,0.6569914766182907,0.7678384428965169,4341,0.775811209439528,0.5775752443060337,339
8,8.398528067961983,0.6692768309534777,0.768904683061399,4342,0.8023598820058997,0.5918336970656393,339
9,7.866342333088751,0.6822472944968916,0.7699889591868818,4343,0.7935103244837758,0.5957435341044532,339
10,7.562589000618976,0.6848401196227283,0.7750056245639283,4347,0.8023598820058997,0.5919837589830756,339
11,7.673471890325132,0.6951107011070111,0.7746944720663791,4336,0.7964601769911505,0.5756734788088388,339
12,7.357565255787062,0.6856156501726122,0.779752697397763,4345,0.7964601769911505,0.5707897678387427,339
13,7.639344372956649,0.7059094044607955,0.7660299467629859,4349,0.8082595870206489,0.5954445437824052,339
14,7.195275120113207,0.6953322602897217,0.7744987077586618,4349,0.8112094395280236,0.5780719097581833,339
15,7.18362571052883,0.714845550945136,0.7721538398711454,4338,0.8141592920353983,0.5929577240025472,339
16,6.897090573932814,0.7224527431996312,0.778601658025975,4338,0.7935103244837758,0.5369984176963337,339
17,6.7366349842237385,0.710108220124338,0.7846920937255583,4343,0.8141592920353983,0.60918735956515,339
18,6.744724993083788,0.7177121771217713,0.7842199680671739,4336,0.8377581120943953,0.6277333309336266,339
19,6.750567589635434,0.7312471237919926,0.7822914528557804,4346,0.8200589970501475,0.6045733807704053,339
20,6.394597799881645,0.7336556169429097,0.7879998261265602,4344,0.8053097345132744,0.5759157714126191,339
21,6.383600446452265,0.728005527406725,0.7938540012724155,4342,0.831858407079646,0.5724158743060551,339
22,6.225045705878216,0.733195211786372,0.7909884212491066,4344,0.8230088495575221,0.6154971255642303,339
23,6.18202717822531,0.7290753977403736,0.7914363058232832,4337,0.8023598820058997,0.5837309623010664,339
24,6.011398106035979,0.7232718894009217,0.7932348409872253,4340,0.7905604719764012,0.5760711719519456,339
25,6.301308285671731,0.720876585928489,0.7882948801819193,4335,0.8171091445427728,0.5962029580137372,339
26,5.864213124565456,0.7533994007835907,0.7957228577489022,4339,0.8525073746312685,0.6230172723558063,339
27,5.899499090858128,0.7550691244239631,0.8003448581767981,4340,0.8377581120943953,0.5965358859356094,339
28,5.783584663142329,0.7560975609756098,0.8023842201089257,4346,0.831858407079646,0.5623589954968751,339
29,6.078050976214201,0.7470574659589199,0.790256628659411,4333,0.831858407079646,0.6290993439461445,339
30,5.867309369211611,0.7485057471264368,0.7927759433024673,4350,0.8259587020648967,0.609816127528783,339
31,5.387815890104874,0.7679723502304148,0.8134083018865335,4340,0.8377581120943953,0.5909216241742918,339
32,5.1781202710193135,0.7839207555862704,0.8179896637716249,4341,0.8230088495575221,0.5955214013842466,339
33,5.257628967451013,0.7714285714285715,0.8181277026953644,4340,0.8348082595870207,0.5997423653757514,339
34,5.166388296044391,0.7863720073664825,0.8184940574948044,4344,0.8377581120943953,0.5799375550034056,339
35,5.111467448524807,0.7722043258168431,0.8197865897597039,4346,0.8436578171091446,0.5955401982895224,339
36,5.104035690556402,0.7785451197053407,0.8188050762266947,4344,0.8436578171091446,0.5951134703575005,339
37,5.234846712195355,0.779746835443038,0.8162281424801774,4345,0.8230088495575221,0.5906933890374995,339
38,5.1352254162664,0.7798988040478381,0.8178247774137185,4348,0.8348082595870207,0.5940876830367244,339
39,5.192742380888566,0.7760404690733502,0.817974679878155,4349,0.8377581120943953,0.590197901159441,339
40,5.142060031061587,0.7726014760147601,0.8202654910607446,4336,0.831858407079646,0.5879676427465984,339
41,5.084351707541424,0.7868663594470046,0.8203766529760788,4340,0.8377581120943953,0.5774275827094655,339
42,5.18575089910756,0.7820571955719557,0.8185623038677297,4336,0.8377581120943953,0.5847324087163686,339
43,5.1302969061810035,0.7780336173152199,0.8177598649970903,4343,0.8200589970501475,0.5775260076179218,339
44,5.1227155789085055,0.7865867711454252,0.8188894984627516,4339,0.8348082595870207,0.5815465802329417,339
45,5.026084564043128,0.7895463965001152,0.8218204273177858,4343,0.8289085545722714,0.5794530757549056,339
46,5.047011503965958,0.7853185595567868,0.8196660361722912,4332,0.831858407079646,0.5948372132588436,339
47,5.1166413079137385,0.7825586746433502,0.8196462834085941,4346,0.8377581120943953,0.5819536004077918,339
48,5.08840508668319,0.7739930955120828,0.8197108470420565,4345,0.8377581120943953,0.5820247660019552,339
49,5.0121954213018,0.7837525963535656,0.8201814247345812,4333,0.8259587020648967,0.5872406065184461,339
50,4.974357656810595,0.7593829150356897,0.822080625319198,4343,0.8495575221238938,0.5892791406050234,339
