epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,12.058613967895507,0.3690888119953864,0.6231103147869687,4335,0.640117994100295,0.5210466037669336,339
2,8.762726854241413,0.553941908713693,0.6952864849826114,4338,0.7640117994100295,0.5287923867825925,339
3,7.467654991149902,0.6134531214005989,0.7188902157715582,4341,0.7728613569321534,0.5486208316208113,339
4,6.803030781123949,0.6288350634371396,0.7331117811077458,4335,0.7640117994100295,0.54398942050131,339
5,6.469099415903506,0.6436145689257723,0.7293236435723227,4338,0.7699115044247787,0.5585253248096906,339
