epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,27.153631716189178,0.3709677419354839,0.6383367014768766,4340,0.6489675516224189,0.5127264578629652,339
2,19.90979120835014,0.5557346844771994,0.704883212375055,4342,0.7109144542772862,0.5162531654470824,339
3,18.289888149759044,0.6035516605166051,0.7110644775581852,4336,0.7463126843657817,0.5504096572097902,339
4,16.592626812147056,0.6216091954022989,0.7246254066670651,4350,0.7522123893805309,0.5456364475883068,339
5,15.333521851249364,0.6345002303086136,0.7342701464373009,4342,0.7846607669616519,0.5890396923497115,339
