epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,12.247524526844854,0.12286768095896726,0.6156372896763718,4338,0.23008849557522124,0.15585168128507568,339
2,8.840245280058488,0.24902096291177148,0.690789864901962,4341,0.5368731563421829,0.3665949827838001,339
3,7.805105536916981,0.27509208103130756,0.7024766046332466,4344,0.5899705014749262,0.379925914214309,339
4,7.184247593257738,0.34018475750577365,0.7291907442225712,4330,0.640117994100295,0.4342016282791576,339
5,6.933728454423988,0.3650830258302583,0.7217060267210751,4336,0.6991150442477876,0.44492418890126717,339
