epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,11.687356094692065,0.4155545329038196,0.6115610166608897,4346,0.5781710914454278,0.5461517371914751,339
2,7.904058159952578,0.6342922899884925,0.6985025472965661,4345,0.7138643067846607,0.521229872823834,339
3,6.770323344935542,0.6803410924176078,0.7199800070324293,4339,0.7581120943952803,0.5164171402398609,339
4,6.028576996015466,0.7215686274509804,0.7281730422576038,4335,0.7610619469026548,0.5609613527038216,339
5,5.503622063346531,0.7421658986175115,0.7429056501686433,4340,0.7876106194690266,0.5623462960521994,339
