epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,12.34474050273066,0.39074372553534426,0.6145428194579841,4343,0.5870206489675516,0.5125432291621818,339
2,8.743783847145412,0.5481345002303086,0.6962828707979706,4342,0.5929203539823009,0.536527494727221,339
3,7.931621655173924,0.5876122495970527,0.7029908379113591,4343,0.7463126843657817,0.5177546538974964,339
4,6.917881070012632,0.6132227597327805,0.7322162675061078,4341,0.7522123893805309,0.577288281042216,339
5,6.638152897876242,0.6246253170394281,0.73199779011097,4337,0.7728613569321534,0.5902287659407033,339
