epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,32.1689383133598,0.3859810929213742,0.6319977987223946,4337,0.7020648967551623,0.5386184596751326,339
2,22.305854739313542,0.5543002075167166,0.7041285925757652,4337,0.7227138643067846,0.5356968446444487,339
3,20.536714437733526,0.5926778724384066,0.7092658671079181,4343,0.7404129793510325,0.5869922077761373,339
4,18.479886005235755,0.619870908252651,0.7294276624567593,4338,0.7817109144542773,0.5732513989339724,339
5,16.427450329324472,0.6274509803921569,0.7453755271372603,4335,0.7669616519174042,0.5755528126041661,339
