epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.22609349541042,0.383199079401611,0.6301528550408518,4345,0.6106194690265486,0.5316581791698044,339
2,14.441350999085799,0.5449942462600691,0.7020265925502915,4345,0.7256637168141593,0.5438623790990273,339
3,12.693760759934134,0.5787773933102652,0.7115310448827759,4335,0.7610619469026548,0.5684494668456122,339
4,11.886601410741392,0.5913063477460901,0.7247734455553472,4348,0.6843657817109144,0.558691561811888,339
5,10.771433647819187,0.6149597238204834,0.7372905175188208,4345,0.7669616519174042,0.5399426472654941,339
