epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.520374555173127,0.40055376095985235,0.633348484756353,4334,0.7050147492625368,0.5422821112788848,339
2,14.505100938548212,0.544889502762431,0.7018944302886656,4344,0.7345132743362832,0.5071298432839687,339
3,12.433955569889234,0.5761269549218031,0.7172518374620023,4348,0.6666666666666666,0.5381686634906594,339
4,11.357428355838941,0.6015193370165746,0.7290473069444088,4344,0.7581120943952803,0.5621127252890241,339
5,10.954122170158055,0.6058158319870759,0.7305299634192097,4333,0.7787610619469026,0.5868714146971534,339
