epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,12.292904729428498,0.4107883817427386,0.615458373147415,4338,0.6342182890855457,0.4845204612713962,339
2,8.89597404314124,0.5633510270020771,0.6926364127801529,4333,0.7610619469026548,0.5328641857276718,339
3,7.639491636856743,0.5863102097257432,0.7125191398255869,4339,0.5958702064896755,0.5457069949632775,339
4,7.29600251239279,0.6035994462390402,0.7220325973868547,4334,0.7433628318584071,0.5425569512641285,339
5,6.5885790866354235,0.6316758747697975,0.7276947478454131,4344,0.7787610619469026,0.5562984641400157,339
