epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,20.29339151797087,0.36702740041446,0.6281928993202452,4343,0.5811209439528023,0.5361660653118692,339
2,14.474998042894446,0.533011272141707,0.7033568685557836,4347,0.5663716814159292,0.4996249132311967,339
3,12.45300227455471,0.59064731628657,0.7267683384933478,4341,0.7227138643067846,0.5206031409056399,339
4,11.69274673461914,0.6155442804428044,0.7247348678428729,4336,0.7227138643067846,0.5149787134386882,339
5,10.26155890589175,0.6281048758049678,0.7421109338747015,4348,0.7345132743362832,0.5561248499190535,339
