epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,15.77964101459669,0.4042748793380832,0.6213739217666745,4351,0.6224188790560472,0.521431090951281,339
2,11.488067647685176,0.5759668508287292,0.7037666021517378,4344,0.7522123893805309,0.5476086700498977,339
3,10.241917465044105,0.6028091181211145,0.7194769645499824,4343,0.7581120943952803,0.5648687031455686,339
4,9.410529252757197,0.6238489871086557,0.7263073613084999,4344,0.7699115044247787,0.573401056674722,339
5,8.716763090050739,0.6400737837214665,0.7331098921572307,4337,0.7610619469026548,0.5707189333848132,339
