epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,15.232002980000264,0.3269043444379505,0.6095461835212803,5133,0.6892655367231638,0.49051014035563745,177
2,11.412987992570207,0.5011668611435239,0.6696493074742601,5142,0.6949152542372882,0.5229977543215284,177
3,10.277009388348004,0.5431570762052877,0.6956727549665922,5144,0.7457627118644068,0.5594374297755441,177
4,9.224126158533869,0.5669721193215052,0.7118346897919818,5129,0.7570621468926554,0.5589676988172798,177
5,8.761496019792986,0.5878457343202181,0.7056931987877042,5134,0.7966101694915254,0.5637652695989722,177
6,7.982962505237476,0.6104956268221574,0.7330797403117434,5145,0.7909604519774012,0.4819440754440354,177
7,8.005566322051727,0.625024361722861,0.7238626914101045,5131,0.768361581920904,0.5822740958683573,177
8,7.567793047105944,0.6356754658385093,0.7347440469950481,5152,0.7853107344632768,0.486831531342697,177
9,7.6516847094974,0.6359572400388727,0.7182668132353281,5145,0.7740112994350282,0.5217497707388778,177
10,7.200654205975232,0.6428432327166504,0.7425783519578969,5135,0.7853107344632768,0.4899138632480947,177
11,7.130625673242517,0.6616161616161617,0.7356227846749991,5148,0.807909604519774,0.5434867428391947,177
12,6.812232801506111,0.6754760979401477,0.7433735852035508,5146,0.8022598870056498,0.49696264121516714,177
13,6.670107871562511,0.6746309246309247,0.7530389437147545,5148,0.7966101694915254,0.5396144782101995,177
14,6.610767867114093,0.6823300970873787,0.7457081485849981,5150,0.7966101694915254,0.5795966749523791,177
15,6.507004183691901,0.679992237531535,0.7471227430437645,5153,0.7966101694915254,0.5974045918978508,177
16,6.483870789811418,0.6887378640776699,0.7470385237593516,5150,0.7740112994350282,0.5741409421588568,177
17,6.2430039526106,0.6953989516598719,0.7541395632766295,5151,0.8135593220338984,0.6009708042245385,177
18,6.220263182579934,0.7034294621979735,0.7586831321253714,5132,0.807909604519774,0.5828228914678543,177
19,6.102800392889762,0.6965570900602995,0.7552247620280533,5141,0.8192090395480226,0.5353477853785205,177
20,6.461587527850726,0.6977015971951694,0.7371358471645914,5134,0.8305084745762712,0.5534612799922786,177
