epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,15.527261734008789,0.37863886703383165,0.5972056361495486,5084,0.6843657817109144,0.5177741092533581,339
2,11.258696750972582,0.5604783375808665,0.6818757070826813,5101,0.6873156342182891,0.5291932871192658,339
3,10.375393241384755,0.5647150969257881,0.6905136972944502,5107,0.6548672566371682,0.5131092328972525,339
4,9.165832407578177,0.6045873358165066,0.7020067183635708,5101,0.7610619469026548,0.5635819639432499,339
5,8.86284700891246,0.6203721841332027,0.7106199259692874,5105,0.7817109144542773,0.5885088482822209,339
6,8.313912785571555,0.6304475278483487,0.7141055584336451,5117,0.7610619469026548,0.5631080894201547,339
7,8.118400279335354,0.6258343148802513,0.7221867516053881,5094,0.775811209439528,0.5721768207721745,339
8,7.494790852588156,0.6479561901036573,0.7308815199599688,5113,0.8053097345132744,0.5947573003650635,339
9,7.28822834180749,0.665036196439053,0.7399748386402648,5111,0.7964601769911505,0.5719129603232337,339
10,7.215321105459462,0.6605918087399569,0.7362018926574225,5103,0.7964601769911505,0.5706705350054977,339
11,7.173908248155013,0.6704612365063788,0.7364138437509377,5095,0.8112094395280236,0.5841980123926404,339
12,6.749377905804178,0.6776972782455454,0.7399004100993198,5107,0.8053097345132744,0.5569282540845097,339
13,6.695230146076368,0.6892024299431707,0.741683275604597,5103,0.8053097345132744,0.5780855369650947,339
14,6.722446568115898,0.6762688614540466,0.7402633514996005,5103,0.8053097345132744,0.5968207330559414,339
15,6.501070399906324,0.6940137389597645,0.7493060620774901,5095,0.8053097345132744,0.5956701340957435,339
16,6.275302283660225,0.6882939222200508,0.7500335916186035,5117,0.8082595870206489,0.6157114803963422,339
17,6.393201365678206,0.6953369905956113,0.7510418661127775,5104,0.8141592920353983,0.6086424391613595,339
18,6.215784114340077,0.7020776166209329,0.7469993094882398,5102,0.8141592920353983,0.5977199294976573,339
19,6.173248402968697,0.6991185112634671,0.75703246318997,5105,0.8200589970501475,0.5950101312882187,339
20,6.028233731311301,0.6983130639466457,0.7618209639144649,5098,0.831858407079646,0.5585456941043484,339
