epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,29.76996969140094,0.3553249804228661,0.6196863808029297,5108,0.6047197640117994,0.5103155202887916,339
2,20.765623722905698,0.5445467006070099,0.6802479516694042,5107,0.7138643067846607,0.5496297165970173,339
3,18.66987934941831,0.5693001372279946,0.689302951742866,5101,0.7079646017699115,0.5266341228919542,339
4,16.629539066812267,0.5779780564263323,0.7022495564033416,5104,0.7463126843657817,0.5642190363012012,339
5,15.135863693900731,0.6077932249853143,0.7196078482404168,5107,0.7345132743362832,0.5602791588720648,339
