epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,27.601863156567823,0.34303912647861695,0.6180154693871115,4396,0.5819209039548022,0.5156981891679371,177
2,20.4637457701537,0.518972960690752,0.6925053373329094,4401,0.7457627118644068,0.5224232725984868,177
3,17.655668164158726,0.5746472462448794,0.7246553591428438,4394,0.7175141242937854,0.5212259333291481,177
4,16.83488027899115,0.59,0.7225922172734198,4400,0.7627118644067796,0.5375725841861964,177
5,16.027893470214295,0.6129545454545454,0.7207006084164348,4400,0.7853107344632768,0.56628595733526,177
6,15.323593328664968,0.6352673492605233,0.7243892304519565,4395,0.768361581920904,0.5721374926665943,177
7,14.243014679298744,0.652193680381905,0.7392443590422328,4399,0.7853107344632768,0.5946968066833619,177
8,13.791744588731646,0.6399818057766659,0.7478786139958401,4397,0.7966101694915254,0.5760450665601439,177
9,13.289920858434728,0.6583314389634007,0.7552726694248416,4399,0.8022598870056498,0.535317053761769,177
10,12.917071432680697,0.6627986348122867,0.7617717710857838,4395,0.8022598870056498,0.5849030673562262,177
11,12.830667272344366,0.6711394132362974,0.7422347185139055,4397,0.7909604519774012,0.5563930316712912,177
12,12.60539537721926,0.6555808656036447,0.7593689386793434,4390,0.807909604519774,0.5688985950790317,177
13,12.500496413256672,0.6815084052703316,0.7535452372677853,4402,0.8022598870056498,0.6130728407492804,177
14,12.201907282477027,0.6738685467364112,0.7633414616218173,4397,0.7796610169491526,0.6018991326382741,177
15,11.50491307232831,0.6942805265546982,0.7674162181197934,4406,0.8022598870056498,0.5852878236085529,177
16,11.923456724699554,0.6857923497267759,0.7659487534751561,4392,0.7796610169491526,0.6027126146781719,177
17,11.900701316627297,0.7033666969972703,0.7543137464376433,4396,0.7909604519774012,0.5507616584528289,177
18,11.533398220130989,0.6977272727272728,0.7561724926279533,4400,0.7796610169491526,0.509117901915953,177
19,11.34281958330859,0.6893336365703889,0.7716425452790362,4397,0.8135593220338984,0.5613028569416547,177
20,11.156121967075107,0.7016385980883022,0.7644915684995043,4394,0.8192090395480226,0.5871763955835432,177
