epoch,loss,train acc,train mean IoU,total pos anchors,val acc,val IoU,val # segments
1,21.11255872560584,0.32947409733124017,0.6011938942183969,5096,0.6607669616519174,0.5245558102254758,339
2,15.30500779359237,0.536036036036036,0.6726481105506984,5106,0.7256637168141593,0.5552688875043322,339
3,12.94723018563312,0.5569272976680384,0.689555098737764,5103,0.6991150442477876,0.563433781013049,339
4,11.868266039309294,0.5799686397491179,0.7034961184465593,5102,0.7315634218289085,0.5467377161739468,339
5,10.827437035933785,0.599333855799373,0.7078715305350782,5104,0.7492625368731564,0.543261463061121,339
6,11.044011136759883,0.618767177071064,0.6955756367811371,5094,0.7610619469026548,0.5717396440426815,339
7,9.970105411695398,0.6103488827910624,0.7272414257055767,5102,0.7787610619469026,0.5865924253213842,339
8,9.47678397634755,0.6368090944727558,0.7243125515473231,5102,0.7787610619469026,0.5748662984040206,339
9,8.942920340662416,0.6388398980991573,0.7345655803998441,5103,0.7905604719764012,0.5953221086093649,339
10,8.590688761420871,0.6346870708259761,0.7426243924961821,5097,0.7787610619469026,0.6147532001180834,339
11,8.449817093558934,0.6475313479623824,0.7462616024994383,5104,0.799410029498525,0.5764640380539232,339
12,8.354906658504321,0.6494905956112853,0.7456444457686595,5104,0.7669616519174042,0.552049249378661,339
13,7.995791373045548,0.6555033294163729,0.7494677134384076,5106,0.7817109144542773,0.5847471970535504,339
14,7.965515791851542,0.6553008034489516,0.7509982982628249,5103,0.8023598820058997,0.585783130694715,339
15,7.70345167906388,0.669277462306638,0.7558101211281664,5107,0.799410029498525,0.5735219520385578,339
16,7.606380446060844,0.6760149048833105,0.7470268187656475,5099,0.7935103244837758,0.5622246107804958,339
17,7.660845358475395,0.6527777777777778,0.7481279716042524,5112,0.8112094395280236,0.6056815857603605,339
18,7.416691877530969,0.6732692684840165,0.7567190233599602,5099,0.799410029498525,0.6125250088937867,339
19,7.313232403216155,0.6887014515496273,0.7571867652089314,5098,0.8112094395280236,0.5987867049809273,339
20,7.243996064559273,0.6813273119968585,0.7631124951689134,5093,0.8259587020648967,0.6092425786945209,339
